iter	Passed	Remaining
466	694	792
467	695	791
468	696	788
469	697	786
470	698	784
471	699	782
472	699	779
473	700	777
474	701	775
475	702	773
476	703	771
477	704	768
478	704	766
479	705	764
480	706	762
481	707	759
482	707	757
483	708	755
484	709	753
485	710	750
486	710	748
487	711	746
488	712	744
489	713	742
490	714	740
491	715	738
492	715	736
493	716	734
494	717	732
495	718	729
496	719	728
497	720	725
498	721	723
499	721	721
500	722	719
501	723	717
502	724	715
503	724	713
504	725	711
505	726	709
506	727	707
507	728	705
508	729	703
509	729	701
510	730	699
511	731	696
512	732	694
513	732	692
514	733	690
515	734	688
516	735	687
517	736	685
518	736	682
519	737	680
520	738	678
521	739	676
522	740	674
523	740	672
524	741	671
525	742	669
526	743	667
527	744	665
528	744	663
529	745	661
530	746	659
531	747	657
532	747	655
533	748	653
534	749	651
535	750	649
536	751	647
537	751	645
538	752	643
539	753	641
540	754	640
541	755	638
542	756	636
543	757	634
544	757	632
545	758	630
546	759	628
547	760	627
548	761	625
549	761	623
550	762	621
551	763	619
552	763	617
553	764	615
554	765	614
555	766	612
556	767	610
557	768	608
558	768	606
559	769	604
560	770	602
561	771	601
562	772	599
563	773	597
564	773	595
565	774	593
566	775	591
567	775	590
568	776	588
569	777	586
570	777	584
571	778	582
572	779	580
573	780	578
574	780	577
575	781	575
576	782	573
577	783	571
578	784	570
579	784	568
580	785	566
581	786	564
582	787	563
583	788	561
584	788	559
585	789	557
586	790	556
587	791	554
588	791	552
589	792	550
590	793	549
591	794	547
592	794	545
593	795	543
594	796	542
595	797	540
596	798	538
597	799	537
598	799	535
599	800	533
600	801	532
601	802	530
602	802	528
603	803	526
604	804	525
605	805	523
606	806	521
607	806	520
608	807	518
609	808	516
610	808	514
611	809	513
612	810	511
613	811	510
614	812	508
615	813	506
616	813	505
617	814	503
618	815	501
619	815	500
620	816	498
621	817	497
622	818	495
623	819	493
624	820	492
625	820	490
626	821	488
627	822	487
628	823	485
629	824	483
630	824	482
631	825	480
632	826	479
633	827	477
634	828	475
635	828	474
636	829	472
637	830	471
638	831	469
639	831	467
640	832	466
641	833	464
642	834	463
643	835	461
644	836	460
645	836	458
646	837	456
647	838	455
648	839	453
649	839	452
650	840	450
651	841	449
652	842	447
653	843	446
654	843	444
655	844	442
656	845	441
657	845	439
658	846	438
659	847	436
660	848	435
661	849	433
662	849	431
663	850	430
664	851	428
665	852	427
666	853	425
667	853	424
668	856	423
669	857	422
670	858	420
671	859	419
672	859	417
673	860	416
674	861	414
675	862	413
676	863	411
677	864	410
678	864	408
679	865	407
680	866	405
681	867	404
682	868	402
683	869	401
684	869	400
685	870	398
686	871	397
687	872	395
688	873	394
689	873	392
690	874	391
691	875	389
692	876	388
693	876	386
694	877	385
695	878	383
696	879	382
697	879	380
698	880	379
699	881	377
700	882	376
701	882	374
702	883	373
703	884	371
704	884	370
705	885	368
706	886	367
707	886	365
708	887	364
709	888	362
710	889	361
711	890	360
712	890	358
713	891	357
714	892	355
715	893	354
716	893	352
717	894	351
718	895	349
719	896	348
720	896	347
721	897	345
722	898	344
723	898	342
724	899	341
725	900	339
726	901	338
727	902	337
728	902	335
729	903	334
730	904	332
731	905	331
732	905	329
733	906	328
734	907	327
735	907	325
736	908	324
737	909	322
738	910	321
739	910	320
740	911	318
741	912	317
742	913	316
743	914	314
744	915	313
745	915	311
746	916	310
747	917	309
748	917	307
749	918	306
750	919	304
751	920	303
752	920	302
753	921	300
754	922	299
755	922	297
756	923	296
757	924	295
758	925	293
759	926	292
760	926	291
761	927	289
762	928	288
763	928	286
764	929	285
765	930	284
766	931	282
767	931	281
768	932	280
769	933	278
770	934	277
771	934	276
772	935	274
773	936	273
774	937	272
775	938	270
776	939	269
777	940	268
778	940	266
779	941	265
780	942	264
781	942	262
782	943	261
783	944	260
784	944	258
785	945	257
786	946	256
787	946	254
788	947	253
789	948	252
790	949	250
791	949	249
792	951	248
793	951	246
794	952	245
795	953	244
796	953	242
797	954	241
798	955	240
799	956	239
800	957	237
801	958	236
802	959	235
803	959	234
804	960	232
805	961	231
806	962	230
807	962	228
808	963	227
809	964	226
810	965	224
811	966	223
812	966	222
813	967	221
814	968	219
815	968	218
816	969	217
817	970	215
818	971	214
819	972	213
820	973	212
821	973	210
822	974	209
823	975	208
824	975	206
825	977	205
826	977	204
827	978	203
828	979	202
829	980	200
830	981	199
831	982	198
832	983	197
833	983	195
834	984	194
835	985	193
836	986	192
837	987	190
838	987	189
839	988	188
840	989	187
841	990	185
842	991	184
843	991	183
844	992	182
845	993	180
846	994	179
847	995	178
848	996	177
849	997	176
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	170
855	1003	168
856	1005	167
857	1006	166
858	1007	165
859	1008	164
860	1008	162
861	1010	161
862	1011	160
863	1012	159
864	1013	158
865	1014	157
866	1015	155
867	1016	154
868	1017	153
869	1018	152
870	1020	151
871	1021	149
872	1022	148
873	1023	147
874	1024	146
875	1026	145
876	1027	144
877	1028	142
878	1029	141
879	1029	140
880	1031	139
881	1031	138
882	1032	136
883	1033	135
884	1034	134
885	1035	133
886	1036	132
887	1037	130
888	1038	129
889	1039	128
890	1040	127
891	1041	126
892	1042	124
893	1043	123
894	1043	122
895	1044	121
896	1045	120
897	1046	118
898	1047	117
899	1047	116
900	1048	115
901	1049	114
902	1050	112
903	1050	111
904	1051	110
905	1052	109
906	1053	107
907	1053	106
908	1054	105
909	1055	104
910	1056	103
911	1057	102
912	1058	100
913	1058	99
914	1059	98
915	1060	97
916	1061	96
917	1061	94
918	1062	93
919	1063	92
920	1063	91
921	1064	90
922	1065	88
923	1066	87
924	1066	86
925	1067	85
926	1068	84
927	1068	82
928	1069	81
929	1070	80
930	1071	79
931	1072	78
932	1072	77
933	1073	75
934	1074	74
935	1075	73
936	1075	72
937	1076	71
938	1077	69
939	1077	68
940	1078	67
941	1079	66
942	1080	65
943	1080	64
944	1081	62
945	1082	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1085	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1090	50
956	1091	49
957	1091	47
958	1092	46
959	1093	45
960	1094	44
961	1094	43
962	1095	42
963	1096	40
964	1096	39
965	1097	38
966	1098	37
967	1098	36
968	1099	35
969	1100	34
970	1101	32
971	1101	31
972	1102	30
973	1103	29
974	1103	28
975	1104	27
976	1105	26
977	1105	24
978	1106	23
979	1107	22
980	1108	21
981	1108	20
982	1109	19
983	1110	18
984	1110	16
985	1111	15
986	1112	14
987	1113	13
988	1114	12
989	1115	11
990	1115	10
991	1116	9
992	1117	7
993	1118	6
994	1119	5
995	1120	4
996	1120	3
997	1121	2
998	1122	1
999	1123	0
